"RERO13S47","RERO19S47","RERO25S47","RERO12S47","RERO18S47","RERO24S47","RERO14S47","RERO20S47","RERO26S47","wustlid","xgrouprr","RERO6S47","PARTYID1S46","RERO9S47","RERO15S47","RERO21S47","RERO10S47","RERO16S47","RERO22S47","ppgender","ppethm","ppeducat","PARTYID2S46","PARTYID3S46","IDEOL1S46","POLKNOW1S30","POLKNOW2S30","POLKNOW3S30","POLKNOW5S30","POLKNOW6S30","POLKNOW7S30","POLKNOW12S30","POLKNOW13S30","POLKNOW17S30","POLKNOW18S30","POLKNOW21S30","POLKNOW22S30","POLKNOW23S30","POLKNOW24S30","POLKNOW25S30","ATTS7S27","IDEFS48","RERO7S47","ppagect4","oct2015wt1","income6","treatment","treatment2","pid3","pot.handling.binary","tax.handling.binary","defense.handling.binary","pot.handling","tax.handling","defense.handling","pot.candidate.binary","tax.candidate.binary","defense.candidate.binary","pot.candidate","tax.candidate","defense.candidate","pot.rol","tax.rol","defense.rol","pot.rol.binary","tax.rol.binary","defense.rol.binary","pot.leadership","tax.leadership","defense.leadership","pot.leadership.binary","tax.leadership.binary","defense.leadership.binary","pot.gtd","tax.gtd","defense.gtd","pot.gtd.binary","tax.gtd.binary","defense.gtd.binary","female","other","black","hispanic","college","age","pid7","pid7.rev","ideology7","ideology7.rev","correct1","correct2","correct3","correct5","correct6","correct7","correct8","correct9","correct10","correct11","correct12","correct13","correct14","correct15","correct16","sum.correct","pot.attitudes","defense.attitudes","tax.attitudes"
,,,,,,,,,1015080,,,,,,,,,,1,"White, Non-Hispanic","Some college",,,,,,,,,,,,,,,,,,,,,,"18-29",,"Under $10,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,"18-29",,,,,,,,,,,,,,,,,,,,,,,
"quite well","not too well","not too well","quite well","not too well","not too well","quite well","quite well","quite well",1015081,"5","Neither Agree nor Disagree","Democrat","approve","disapprove","disapprove","somewhat likely","very unlikely","somewhat unlikely",1,"White, Non-Hispanic","Bachelor's degree or higher","Strong",,"Liberal","Republicans","a two-thirds majority of both houses of Congress","six years","a filibuster","Joseph Biden","two terms","life terms","John Roberts","the benefit program for senior citizens","Medicare","a federation","conservatives","President","Democrat","Don't know","disagree","Disagree","Agree","60+",0.33,"$100,000 or more","bilateral",0,"dem",1,0,0,4,2,2,1,0,0,3,1,2,3,2,2,1,0,0,3,2,2,1,0,0,3,3,3,1,1,1,0,0,0,0,1,"60+",3,-3,2,-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,4.29444444444444,-1,-1,-1
,,,,,,,,,1015082,,,,,,,,,,2,"Hispanic","Less than high school",,,,,,,,,,,,,,,,,,,,,,"30-44",,"$10,000-$29,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,"30-44",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1015083,,,,,,,,,,1,"2+ Race, Non-Hispanic","Some college",,,,,,,,,,,,,,,,,,,,,,"45-59",,"$50,000-$79,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,"45-59",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1015084,,,,,,,,,,2,"Other, Non-Hispanic","Some college",,,,,,,,,,,,,,,,,,,,,,"30-44",,"Under $10,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,"30-44",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1015085,,,,,,,,,,1,"White, Non-Hispanic","Some college",,,,,,,,,,,,,,,,,,,,,,"30-44",,"$30,000-$49,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,"30-44",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1015086,,,,,,,,,,2,"Black, Non-Hispanic","Some college",,,,,,,,,,,,,,,,,,,,,,"45-59",,"$30,000-$49,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,"45-59",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1015087,,,,,,,,,,1,"Hispanic","High school",,,,,,,,,,,,,,,,,,,,,,"18-29",,"$10,000-$29,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,"18-29",,,,,,,,,,,,,,,,,,,,,,,
"quite well","quite well","not too well","quite well","not too well","not too well","not too well","not too well","not too well",1015088,"5","Neither Agree nor Disagree","Democrat","approve","disapprove","disapprove","very unlikely","very unlikely","very unlikely",2,"Black, Non-Hispanic","Bachelor's degree or higher","Strong",,"Very liberal","Democrats","Don't know","two years","a veto","Joseph Biden","two terms","life terms","Antoni Scalia","the benefit program for senior citizens","Medicare","a unitary system","Don't know","President","Democrat","is an arm of Congress","agree","Neither Agree nor Disagree","Strongly agree","45-59",0.72,"$80,000-$99,999","bilateral",0,"dem",1,0,0,4,2,2,0,0,0,1,1,1,3,3,2,1,1,0,3,2,2,1,0,0,2,2,2,0,0,0,1,0,1,0,1,"45-59",3,-3,3,-3,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,-2.70555555555556,1,0,-2
,,,,,,,,,1015089,,,,,,,,,,1,"White, Non-Hispanic","Less than high school",,,,,,,,,,,,,,,,,,,,,,"45-59",,"$10,000-$29,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,"45-59",,,,,,,,,,,,,,,,,,,,,,,
"not well at all","not well at all","not well at all","not too well","not too well","not too well","not too well","not well at all","not well at all",1015090,"4","Disagree","Republican","disapprove","disapprove","strongly disapprove","very unlikely","very unlikely","very unlikely",1,"White, Non-Hispanic","Bachelor's degree or higher","Not Very Strong",,"Conservative","Republicans","Don't know","six years","a filibuster","Joseph Biden","two terms","life terms","Antoni Scalia","the benefit program for senior citizens","aid to foreign countries","Don't know","liberals","President","Democrat","Don't know","agree","Strongly Agree","Neither Agree nor Disagree","45-59",0.86,"$50,000-$79,999","unilateral",1,"gop",0,0,0,2,2,1,0,0,0,1,1,1,1,1,1,0,0,0,2,2,2,0,0,0,2,1,1,0,0,0,0,0,0,0,1,"45-59",-2,2,-2,2,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,-0.705555555555556,1,2,0
"quite well","quite well","quite well","quite well","not too well","quite well","quite well","quite well","quite well",1015091,"1","Agree","Independent","strongly approve","strongly disapprove","neither approve nor disapprove","somewhat likely","very unlikely","somewhat unlikely",1,"White, Non-Hispanic","Bachelor's degree or higher",,"Democratic Party","Moderate","Republicans","a two-thirds majority of both houses of Congress","six years","a filibuster","Joseph Biden","two terms","life terms","John Roberts","the benefit program for senior citizens","Don't know","a federation","conservatives","President","Democrat","Don't know","strongly agree","Disagree","Strongly agree","60+",0.51,"$80,000-$99,999","control",,"ind",1,0,,5,1,3,1,0,0,3,1,2,3,3,3,1,1,1,3,2,3,1,0,1,3,3,3,1,1,1,0,0,0,0,1,"60+",1,-1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,3.29444444444444,2,-1,-2
,,,,,,,,,1015092,,,"Other, please specify:",,,,,,,1,"White, Non-Hispanic","Bachelor's degree or higher",,,"Very conservative","Republicans","a two-thirds majority of both houses of Congress","six years","a filibuster","Joseph Biden","two terms","life terms","John Roberts","the benefit program for senior citizens","Medicare","a federation","conservatives","President","Democrat","is an arm of Congress","neither agree nor disagree","Disagree",,"30-44",,"$50,000-$79,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,"30-44",,,-3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,4.29444444444444,0,-1,
"not too well","not too well","quite well","not too well","not too well","quite well","not too well","not too well","quite well",1015093,"4","Agree","Democrat","neither approve nor disapprove","neither approve nor disapprove","neither approve nor disapprove","somewhat unlikely","somewhat unlikely","somewhat unlikely",2,"Black, Non-Hispanic","Some college","Not Very Strong",,"Moderate","Don't know","Don't know","Refused","Don't know","Joseph Biden","two terms","Don't know","Refused","operated by state governments","Don't know","Don't know","Don't know","President","Democrat","Don't know","don't know","Neither Agree nor Disagree","Neither Agree nor Disagree","45-59",0.23,"$30,000-$49,999","unilateral",1,"dem",,,,3,3,3,0,0,0,2,2,2,2,2,3,0,0,1,2,2,3,0,0,1,2,2,3,0,0,1,1,0,1,0,0,"45-59",2,-2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,-5.70555555555556,,0,0
,,,,,,,,,1015094,,,,,,,,,,1,"White, Non-Hispanic","Bachelor's degree or higher",,,,"Republicans","a two-thirds majority of both houses of Congress","six years","a filibuster","Joseph Biden","two terms","life terms","John Roberts","the benefit program for senior citizens","Medicare","a federation","conservatives","President","Democrat","Don't know","agree",,,"30-44",,"$100,000 or more",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,"30-44",,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,4.29444444444444,1,,
,,,,,,,,,1015095,,,,,,,,,,2,"White, Non-Hispanic","Bachelor's degree or higher",,,,,,,,,,,,,,,,,,,,,,"18-29",,"$50,000-$79,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,"18-29",,,,,,,,,,,,,,,,,,,,,,,
"not too well","quite well","quite well","not too well","quite well","quite well","not too well","quite well","quite well",1015096,"1","Strongly Disagree","Other, please specify:","neither approve nor disapprove","approve","approve","somewhat unlikely","somewhat likely","very likely",1,"Hispanic","Some college",,,"Very conservative","Republicans","a two-thirds majority of both houses of Congress","four years","a filibuster","Joseph Biden","two terms","life terms","John Roberts","the benefit program for senior citizens","Medicare","Don't know","Refused","Refused","Refused","Refused","strongly disagree","Strongly Agree","Disagree","60+",0.61,"$10,000-$29,999","control",,,,1,1,3,4,4,0,1,1,2,3,4,2,3,3,0,1,1,2,3,3,0,1,1,2,3,3,0,1,1,0,0,0,1,0,"60+",,,-3,3,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,-0.705555555555556,-2,2,1
,,,,,,,,,1015097,,,,,,,,,,2,"Black, Non-Hispanic","Some college",,,,,,,,,,,,,,,,,,,"neither agree nor disagree",,,"30-44",,"Under $10,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,"30-44",,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,1015098,,,,,,,,,,1,"White, Non-Hispanic","Some college",,,,,,,,,,,,,,,,,,,,,,"60+",,"Under $10,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,"60+",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1015099,,,,,,,,,,1,"White, Non-Hispanic","Some college",,,,,,,,,,,,,,,,,,,,,,"45-59",,"$30,000-$49,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,"45-59",,,,,,,,,,,,,,,,,,,,,,,
"not well at all","not well at all","quite well","not well at all","not well at all","quite well","not well at all","not well at all","quite well",1015100,"5","Strongly Disagree","Republican","strongly disapprove","strongly disapprove","approve","very unlikely","very unlikely","very likely",1,"Hispanic","Bachelor's degree or higher","Strong",,"Conservative","Republicans","a two-thirds majority of both houses of Congress","six years","a filibuster","Joseph Biden","two terms","life terms","John Roberts","the benefit program for senior citizens","Medicare","a federation","conservatives","President","Democrat","was originally called the Bureau of the Budget","strongly disagree","Strongly Agree","Strongly agree","60+",1.39,"$100,000 or more","bilateral",0,"gop",0,0,1,1,1,4,0,0,1,1,1,4,1,1,3,0,0,1,1,1,3,0,0,1,1,1,3,0,0,1,0,0,0,1,1,"60+",-3,3,-2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5.29444444444444,-2,2,-2
"not too well","quite well","quite well","not well at all","quite well","quite well","not too well","quite well","quite well",1015101,"6","Strongly Disagree","Republican","neither approve nor disapprove","approve","neither approve nor disapprove","somewhat unlikely","somewhat likely","somewhat likely",1,"White, Non-Hispanic","Bachelor's degree or higher","Not Very Strong",,"Slightly conservative","Republicans","a two-thirds majority of both houses of Congress","four years","a filibuster","Joseph Biden","two terms","life terms","John Roberts","the benefit program for senior citizens","Medicare","a federation","conservatives","President","Democrat","is headed by the Secretary of the Treasury","disagree","Strongly Agree","Neither Agree nor Disagree","45-59",0.51,"$100,000 or more","bilateral",0,"gop",,1,,3,4,3,0,1,1,2,3,3,2,3,3,0,1,1,1,3,3,0,1,1,2,3,3,0,1,1,0,0,0,0,1,"45-59",-2,2,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,3.29444444444444,-1,2,0
,,,,,,,,,1015102,,,,,,,,,,2,"White, Non-Hispanic","High school",,,,,,,,,,,,,,,,,,,,,,"60+",,"$100,000 or more",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,"60+",,,,,,,,,,,,,,,,,,,,,,,
"not too well","quite well","quite well","not too well","quite well","quite well","Refused","quite well","quite well",1015103,"5","Neither Agree nor Disagree","Independent","strongly disapprove","neither approve nor disapprove","neither approve nor disapprove","very unlikely","somewhat likely","somewhat unlikely",2,"White, Non-Hispanic","Some college",,"Republican Party","Liberal","Republicans","a two-thirds majority of both houses of Congress","four years","a filibuster","Joseph Biden","two terms","life terms","Antoni Scalia","the benefit program for senior citizens","Medicare","a unitary system","liberals","President","Democrat","is headed by the Secretary of the Treasury","strongly disagree","Disagree","Neither Agree nor Disagree","30-44",0.8,"$30,000-$49,999","bilateral",0,"ind",0,,,1,3,3,0,1,0,1,3,2,2,3,3,0,1,1,2,3,3,0,1,1,,3,3,,1,1,1,0,0,0,0,"30-44",-1,1,2,-2,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0.294444444444444,-2,-1,0
,,,,,,,,,1015104,,,,,,,,,,2,"White, Non-Hispanic","Bachelor's degree or higher",,,,,,,,,,,,,,,,,,,,,,"30-44",,"$30,000-$49,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,"30-44",,,,,,,,,,,,,,,,,,,,,,,
"quite well","not too well","quite well","extremely well","not too well","extremely well","quite well","not too well","quite well",1015105,"5","Agree","Democrat","strongly approve","disapprove","approve","very likely","somewhat unlikely","somewhat likely",1,"White, Non-Hispanic","Bachelor's degree or higher","Strong",,"Liberal",,,,,,,,,,,,,,,,,"Disagree","Strongly agree","60+",0.47,"$100,000 or more","bilateral",0,"dem",1,0,1,5,2,4,1,0,1,4,2,3,3,2,3,1,0,1,4,2,4,1,0,1,3,2,3,1,0,1,0,0,0,0,1,"60+",3,-3,2,-2,,,,,,,,,,,,,,,,,,-1,-2
"not too well","not too well","quite well","Refused","quite well","not well at all","quite well","quite well","Refused",1015106,"1","Neither Agree nor Disagree","Other, please specify:","neither approve nor disapprove","strongly disapprove","strongly disapprove","very unlikely","very unlikely","very unlikely",2,"White, Non-Hispanic","Less than high school",,,"Don’t know","Don't know","a two-thirds majority of both houses of Congress","Don't know","a veto","Don't know","two terms","Don't know","Hillary Clinton","the benefit program for senior citizens","Medicare","Don't know","Don't know","Don't know","Democrat","Don't know","neither agree nor disagree","Agree","Strongly Disagree","45-59",2.31,"$30,000-$49,999","control",,,,0,0,3,1,1,0,0,0,1,1,1,2,2,3,0,0,1,,3,1,,1,0,3,3,,1,1,,1,0,0,0,0,"45-59",,,,,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,-4.70555555555556,0,1,2
,,,,,,,,,1015107,,,,,,,,,,2,"White, Non-Hispanic","High school",,,,,,,,,,,,,,,,,,,"strongly agree",,,"30-44",,"$30,000-$49,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,"30-44",,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,1015108,,,,,,,,,,2,"Black, Non-Hispanic","Bachelor's degree or higher",,,,"Democrats","Don't know","six years","a filibuster","Joseph Biden","two terms","life terms","John Roberts","the benefit program for senior citizens","subsidies to farmers","Don't know","conservatives","President","Democrat","is the newest department of the federal government","strongly agree",,,"60+",,"$50,000-$79,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,"60+",,,,,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0.294444444444444,2,,
,,,,,,,,,1015109,,,,,,,,,,2,"Other, Non-Hispanic","Less than high school",,,,,,,,,,,,,,,,,,,,,,"30-44",,"Under $10,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,"30-44",,,,,,,,,,,,,,,,,,,,,,,
"not well at all","not well at all","not well at all","not well at all","not well at all","not well at all","not well at all","not well at all","not well at all",1015110,"5","Neither Agree nor Disagree","Independent","disapprove","disapprove","disapprove","somewhat unlikely","somewhat unlikely","somewhat unlikely",2,"Hispanic","Some college",,"Republican Party","Don’t know","Republicans","Don't know","four years","a filibuster","Joseph Biden","two terms","life terms","John Roberts","the benefit program for senior citizens","aid to foreign countries","Don't know","conservatives","President","Democrat","Don't know","neither agree nor disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","30-44",0.64,"$30,000-$49,999","bilateral",0,"ind",0,0,0,2,2,2,0,0,0,2,2,2,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,"30-44",-1,1,,,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0.294444444444444,0,0,0
,,,,,,,,,1015111,,,,,,,,,,2,"Hispanic","Some college",,,,,,,,,,,,,,,,,,,,,,"18-29",,"$50,000-$79,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,"18-29",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1015170,,,,,,,,,,2,"Black, Non-Hispanic","High school",,,,,,,,,,,,,,,,,,,,,,"60+",,"$10,000-$29,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,"60+",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1015171,,,,,,,,,,2,"White, Non-Hispanic","Some college",,,,,,,,,,,,,,,,,,,,,,"18-29",,"$30,000-$49,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,"18-29",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1015172,,,,,,,,,,2,"White, Non-Hispanic","Some college",,,,,,,,,,,,,,,,,,,,,,"45-59",,"$30,000-$49,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,"45-59",,,,,,,,,,,,,,,,,,,,,,,
"not well at all","not well at all","not well at all","not well at all","not well at all","not well at all","not well at all","not well at all","not well at all",1015173,"1","Strongly agree","Democrat","strongly approve","neither approve nor disapprove","strongly disapprove","somewhat likely","very unlikely","very unlikely",1,"Black, Non-Hispanic","Bachelor's degree or higher","Strong",,"Very liberal","Republicans","a two-thirds majority of both houses of Congress","six years","a filibuster","Joseph Biden","two terms","life terms","John Roberts","the benefit program for senior citizens","Medicare","a confederation","conservatives","President","Democrat","was originally called the Bureau of the Budget","strongly agree","Strongly Disagree","Strongly agree","45-59",0.23,"$10,000-$29,999","control",,"dem",1,,0,5,3,1,1,0,0,3,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,"45-59",3,-3,3,-3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,4.29444444444444,2,-2,-2
"not well at all","not well at all","not well at all","not well at all","not well at all","not well at all","not well at all","not well at all","not well at all",1015174,"4","Strongly agree","Democrat","approve","strongly disapprove","strongly disapprove","somewhat unlikely","very unlikely","very unlikely",2,"Black, Non-Hispanic","Some college","Strong",,"Liberal","Republicans","Don't know","six years","a veto","Joseph Biden","two terms","life terms","John Roberts","operated by state governments","Medicare","a unitary system","socialists","President","Democrat","is headed by the Secretary of the Treasury","strongly agree","Agree","Strongly agree","45-59",0.61,"$30,000-$49,999","unilateral",1,"dem",1,0,0,4,1,1,0,0,0,2,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,"45-59",3,-3,2,-2,1,0,1,0,1,1,1,1,0,1,0,0,1,1,0,-0.705555555555556,2,1,-2
,,,,,,,,,1015175,,,,,,,,,,1,"White, Non-Hispanic","Bachelor's degree or higher",,,,,,,,,,,,,,,,,,,,,,"60+",,"$80,000-$99,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,"60+",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1015176,,,,,,,,,,1,"White, Non-Hispanic","Bachelor's degree or higher",,,,,,,,,,,,,,,,,,,"neither agree nor disagree",,,"30-44",,"$100,000 or more",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,"30-44",,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,1015177,,,,,,,,,,1,"Hispanic","Less than high school",,,,,,,,,,,,,,,,,,,,,,"60+",,"Under $10,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,"60+",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1015178,,,"Republican",,,,,,,1,"Hispanic","Some college","Not Very Strong",,"Slightly liberal",,,,,,,,,,,,,,,,"strongly agree","Agree",,"30-44",,"$80,000-$99,999",,,"gop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,"30-44",-2,2,1,-1,,,,,,,,,,,,,,,,,2,1,
"not too well","quite well","quite well","not too well","quite well","quite well","not too well","quite well","quite well",1015179,"6","Strongly Disagree","Republican","neither approve nor disapprove","approve","approve","somewhat unlikely","somewhat likely","somewhat likely",1,"White, Non-Hispanic","Some college","Strong",,"Very conservative","Republicans","a two-thirds majority of both houses of Congress","six years","a filibuster","Joseph Biden","two terms","life terms","John Roberts","the benefit program for senior citizens","Don't know","Don't know","conservatives","President","Democrat","Don't know","strongly disagree","Strongly Agree","Strongly Disagree","60+",0.39,"$30,000-$49,999","bilateral",0,"gop",,1,1,3,4,4,0,1,1,2,3,3,2,3,3,0,1,1,2,3,3,0,1,1,2,3,3,0,1,1,0,0,0,0,0,"60+",-3,3,-3,3,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,2.29444444444444,-2,2,2
"not well at all","not well at all","not well at all","not well at all","not well at all","not well at all","not well at all","not well at all","Refused",1015180,"3","Strongly Disagree","Republican","strongly disapprove","strongly disapprove","Refused","very unlikely","very unlikely","very unlikely",2,"White, Non-Hispanic","Some college","Strong",,"Very conservative","Don't know","Refused","Don't know","Don't know","Joseph Biden","two terms","Don't know","Don't know","the benefit program for senior citizens","Don't know","Don't know","conservatives","President","Democrat","Don't know","strongly disagree","Strongly Agree","Agree","60+",0.4,"$30,000-$49,999","unilateral",1,"gop",0,0,,1,1,,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,,0,0,,1,0,0,0,0,"60+",-3,3,-3,3,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,-3.70555555555556,-2,2,-1
"quite well","quite well","not well at all","quite well","quite well","not well at all","quite well","quite well","not well at all",1015181,"5","Disagree","Democrat","neither approve nor disapprove","disapprove","strongly disapprove","somewhat unlikely","somewhat unlikely","very unlikely",2,"Hispanic","Bachelor's degree or higher","Not Very Strong",,"Slightly liberal","Democrats","Refused","four years","a veto","Joseph Biden","two terms","life terms","John Roberts","funded by the personal income tax","Medicare","a confederation","conservatives","President","Democrat","is headed by the Secretary of the Treasury","agree","Disagree","Strongly agree","30-44",1.24,"$50,000-$79,999","bilateral",0,"dem",,0,0,3,2,1,0,0,0,2,2,1,3,3,1,1,1,0,3,3,1,1,1,0,3,3,1,1,1,0,1,0,0,1,1,"30-44",2,-2,1,-1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,0,-1.70555555555556,1,-1,-2
,,,,,,,,,1015182,,,,,,,,,,1,"White, Non-Hispanic","Bachelor's degree or higher",,,,,,,,,,,,,,,,,,,,,,"45-59",,"$100,000 or more",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,"45-59",,,,,,,,,,,,,,,,,,,,,,,
"not too well","not too well","not too well","not too well","not too well","not too well","not too well","not too well","not too well",1015183,"3","Disagree",,"disapprove","disapprove","disapprove","very unlikely","very unlikely","very unlikely",2,"Black, Non-Hispanic","Bachelor's degree or higher",,,,"Democrats","Refused","four years","a filibuster","Joseph Biden","two terms","life terms","John Roberts","the benefit program for senior citizens","Medicare","a federation","conservatives","President","Democrat","was originally called the Bureau of the Budget","neither agree nor disagree","Agree","Agree","45-59",0.13,"$50,000-$79,999","unilateral",1,,0,0,0,2,2,2,0,0,0,1,1,1,2,2,2,0,0,0,2,2,2,0,0,0,2,2,2,0,0,0,1,0,1,0,1,"45-59",,,,,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2.29444444444444,0,1,-1
,,,,,,,,,1015184,,,"Republican",,,,,,,1,"Hispanic","Some college","Not Very Strong",,"Moderate",,,,,,,,,,,,,,,,"don't know","Neither Agree nor Disagree",,"30-44",,"$80,000-$99,999",,,"gop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,"30-44",-2,2,0,0,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,1015185,,,,,,,,,,2,"Other, Non-Hispanic","Bachelor's degree or higher",,,,"Republicans","a two-thirds majority of one house of Congress","Don't know","a filibuster","Joseph Biden","two terms","life terms","Antoni Scalia","the benefit program for senior citizens","Don't know","a confederation","liberals","President","Democrat","Don't know","strongly disagree",,,"60+",,"$10,000-$29,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,"60+",,,,,1,0,0,1,1,1,1,0,1,0,0,0,1,1,0,-1.70555555555556,-2,,
"not well at all","not well at all","not well at all","not well at all","not well at all","not well at all","not well at all","not well at all","not well at all",1015186,"6","Neither Agree nor Disagree","Democrat","neither approve nor disapprove","neither approve nor disapprove","neither approve nor disapprove","very unlikely","very unlikely","very unlikely",1,"White, Non-Hispanic","Bachelor's degree or higher","Strong",,"Conservative","Don't know","Don't know","six years","Don't know","Joseph Biden","two terms","terms determined by the president","Antoni Scalia","funded by the personal income tax","Don't know","Don't know","Don't know","Don't know","Democrat","Don't know","agree","Agree","Strongly agree","45-59",0.36,"$100,000 or more","bilateral",0,"dem",,,,3,3,3,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,"45-59",3,-3,-2,2,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,-5.70555555555556,1,1,-2
,,,,,,,,,1015195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1015247,,,,,,,,,,2,"2+ Race, Non-Hispanic","Less than high school",,,,,,,,,,,,,,,,,,,"strongly agree",,,"18-29",,"$30,000-$49,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,"18-29",,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,1015248,,,,,,,,,,2,"White, Non-Hispanic","Some college",,,,,,,,,,,,,,,,,,,"neither agree nor disagree",,,"45-59",,"$30,000-$49,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,"45-59",,,,,,,,,,,,,,,,,,,,,0,,
